event,x,y,z,adc,zelem,layer
43,-31.3803,-0.102158,-74.7965,950.617,0,7
43,-31.3554,-1.25495,-54.9505,1298.02,0,7
43,-31.1684,-3.64275,100.668,4559.03,0,7
43,-31.1682,-3.64403,123.151,4583.76,0,7
43,-31.2222,-3.14811,133.636,41.6418,0,7
43,-30.9162,-5.37833,99.477,1063.04,0,7
43,-30.8558,-5.71473,-17.3508,1200.58,0,7
43,-30.6517,-6.72374,64.0228,2854.84,0,7
43,-30.6326,-6.81028,128.914,286.19,0,7
43,-28.646,-12.8118,198.861,1608.69,0,7
43,-28.5739,-12.9719,-82.5668,342.886,0,7
43,-28.5221,-13.0854,-24.2397,217.136,0,7
43,-28.1696,-13.8278,-10.2189,1714.44,0,7
43,-28.0993,-13.9701,-19.5214,420.063,0,7
43,-27.7718,-14.6103,256.558,936.086,0,7
43,-27.675,-14.7928,282.905,1920.17,0,7
43,-25.0019,-18.9643,-8.6276,77.7807,0,7
43,-24.2436,-19.9245,252.692,281.346,0,7
43,-23.4692,-20.831,-42.5541,243.287,0,7
43,-22.9517,-21.3999,286.544,904.023,0,7
43,-21.8337,-22.5394,47.7539,1516.92,0,7
43,-21.3278,-23.0187,22.4757,267.92,0,7
43,-20.2409,-23.98,143.304,384.355,0,7
43,-19.5622,-24.5369,-64.1316,300.118,0,7
43,-19.5048,-24.5825,-17.4559,235.467,0,7
43,-18.4831,-25.3596,80.8173,10121.9,0,7
43,-18.0951,-25.6379,127.144,458.058,0,7
43,-17.2587,-26.2083,291.28,295.352,0,7
43,-16.8786,-26.4546,286.435,1247.53,0,7
43,-13.8207,-28.1731,143.376,751.567,0,7
43,-13.6383,-28.2619,50.8808,524.028,0,7
43,-13.7483,-28.2085,103.92,712.405,0,7
43,-13.5448,-28.3068,178.604,448.061,0,7
43,-12.2381,-28.8958,259.101,1187.72,0,7
43,-6.40519,-30.7199,236.86,1811.77,0,7
43,-5.93606,-30.8139,171.051,1075.91,0,7
43,-3.4729,-31.1877,31.5203,3140.07,0,7
43,-4.92132,-30.9922,88.2315,2089.39,0,7
43,-4.69913,-31.0267,-30.22,161.833,0,7
43,-2.70193,-31.264,48.5815,906.589,0,7
43,-2.54102,-31.2775,72.1895,1490.14,0,7
43,-1.63998,-31.3376,187.621,982.76,0,7
43,-0.829323,-31.3695,-100.821,955.423,0,7
43,-0.762412,-31.3712,197.155,2833.74,0,7
43,-0.863734,-31.3686,292.505,613.37,0,7
43,1.03359,-31.3635,-77.3316,675.133,0,7
43,3.06233,-31.2307,-83.8224,993.22,0,7
43,3.10135,-31.2269,184.986,536.886,0,7
43,3.68882,-31.1629,133.048,637.619,0,7
43,4.72116,-31.0233,304.051,2298.88,0,7
43,6.94235,-30.6029,60.5467,1176.65,0,7
43,7.35961,-30.5053,71.0703,30.5733,0,7
43,7.69899,-30.4214,70.036,15,0,7
43,7.69899,-30.4214,71.3314,91.5391,0,7
43,8.54809,-30.1938,-21.2713,5066.03,0,7
43,10.3067,-29.6396,-100.218,1141.83,0,7
43,10.3245,-29.6334,30.106,2560.35,0,7
43,10.6348,-29.5235,232.065,2220.51,0,7
43,11.5403,-29.1814,295.201,612.16,0,7
43,12.7826,-28.6591,79.3472,570.584,0,7
43,13.3245,-28.4111,-61.2568,549.151,0,7
43,13.2817,-28.4312,138.354,377.039,0,7
43,13.2823,-28.4309,160.867,364.906,0,7
43,13.7377,-28.2137,122.417,2495.14,0,7
43,13.7357,-28.2146,144.901,2524.02,0,7
43,13.8372,-28.165,9.45226,547.535,0,7
43,15.6296,-27.2112,-55.829,910.955,0,7
43,16.7201,-26.5551,-43.6848,2000.09,0,7
43,18.4595,-25.3768,-40.9549,4717.66,0,7
43,18.7464,-25.1656,9.99275,3861.71,0,7
43,18.4096,-25.4131,143.579,1142.48,0,7
43,18.553,-25.3086,-66.4698,1146.4,0,7
43,20.5014,-23.7577,-3.43626,788.803,0,7
43,21.6159,-22.7484,150.77,1014.4,0,7
43,21.8782,-22.4962,150.831,29.2367,0,7
43,23.442,-20.8616,271.965,573.584,0,7
43,23.6696,-20.603,183.281,394.686,0,7
43,23.6661,-20.6071,205.744,382.123,0,7
43,23.7157,-20.55,291.726,327.331,0,7
43,24.3237,-19.8266,158.678,1694.91,0,7
43,24.3542,-19.7891,36.2312,276,0,7
43,24.578,-19.5104,168.697,8652.95,0,7
43,24.6327,-19.4414,218.105,813.827,0,7
43,24.8628,-19.1462,75.5789,494,0,7
43,25.6755,-18.0418,89.194,1179.54,0,7
43,26.1286,-17.3791,106.349,380.297,0,7
43,26.8184,-16.2945,-87.2443,229.95,0,7
43,27.0692,-15.8743,-8.94189,453.166,0,7
43,27.0751,-15.8643,281.647,805.806,0,7
43,27.4171,-15.2656,163.001,564.467,0,7
43,28.5284,-13.0715,26.8693,315.285,0,7
43,28.5678,-12.9853,111.612,516.595,0,7
43,28.8305,-12.3911,177.476,400.767,0,7
43,29.18,-11.5439,294.251,8092.58,0,7
43,29.1722,-11.5637,139.608,375.375,0,7
43,30.0819,-8.93409,170.781,649.011,0,7
43,30.1471,-8.71124,-51.3981,296.157,0,7
43,30.454,-7.56918,-38.1017,1045.96,0,7
43,30.4612,-7.54016,-91.8399,2802.3,0,7
43,30.4564,-7.5595,23.0883,812.953,0,7
43,30.4949,-7.40262,287.418,589.778,0,7
43,31.0154,-4.77304,126.775,1136.66,0,7
43,31.2902,-2.37943,258.214,545.175,0,7
43,31.3413,-1.56881,159.174,2008.42,0,7
43,31.3803,-0.100457,280.868,303.453,0,7
43,31.3527,1.32154,72.3732,249.44,0,7
43,31.3026,2.2096,-77.1729,1040.12,0,7
43,31.262,2.72493,-66.6487,823.786,0,7
43,31.072,4.38923,60.8666,761.284,0,7
43,30.9805,4.99421,-99.4652,860.528,0,7
43,30.9274,5.31331,-71.0222,307.503,0,7
43,30.6689,6.64492,-37.8572,1065.05,0,7
43,30.1595,8.66822,-96.8236,1957.86,0,7
43,30.0427,9.06503,139.059,702.285,0,7
43,29.2403,11.3902,136.067,879.122,0,7
43,28.0583,14.0524,148.355,513.573,0,7
43,28.0521,14.0647,264.857,311.244,0,7
43,27.0163,15.9643,275.231,3012.01,0,7
43,27.1698,15.7016,110.435,850.604,0,7
43,27.1923,15.6624,-67.5001,694.026,0,7
43,26.576,16.6868,95.1583,830.096,0,7
43,25.041,18.9125,196.519,134.852,0,7
43,24.8552,19.1561,-105.378,130.475,0,7
43,23.0967,21.2433,-105.125,100.972,0,7
43,23.0967,21.2433,-67.8362,501.277,0,7
43,23.0967,21.2433,275.064,256.235,0,7
43,22.4748,21.9003,8.37517,114.673,0,7
43,18.6846,25.2116,-80.7448,472.105,0,7
43,18.6846,25.2116,97.596,11.0707,0,7
43,18.6846,25.2116,99.5372,481.098,0,7
43,18.6846,25.2116,121.975,490.224,0,7
43,12.4916,28.7871,299.413,506.434,0,7
43,11.6851,29.1238,-2.05103,471.766,0,7
43,7.27449,30.5257,286.239,177.532,0,7
43,4.80364,31.0107,133.852,1534.1,0,7
43,3.79677,31.15,126.32,5034.54,0,7
43,3.74914,31.1557,140.161,413,0,7
43,2.77531,31.2575,-103.389,745.618,0,7
43,2.26664,31.2985,149.084,163.018,0,7
43,0.583747,31.3751,68.1132,5534.47,0,7
43,1.15706,31.3592,100.563,979.092,0,7
43,1.15294,31.3593,123.039,998.475,0,7
43,-0.838106,31.3693,61.292,7546.28,0,7
43,-1.13089,31.3601,-29.289,977.903,0,7
43,-1.98402,31.3177,-55.2138,10228.5,0,7
43,-3.90006,31.1372,29.1329,887.269,0,7
43,-4.01754,31.1223,11.2335,387.206,0,7
43,-4.1353,31.1068,187.426,204.774,0,7
43,-4.53839,31.0506,177.92,127.434,0,7
43,-4.53568,31.051,200.401,127.457,0,7
43,-8.97703,30.0691,135.121,826.158,0,7
43,-11.879,29.0452,-32.6582,716.402,0,7
43,-12.0781,28.963,177.844,1735.04,0,7
43,-12.0806,28.962,200.318,1740.11,0,7
43,-12.9588,28.5798,225.884,346.301,0,7
43,-15.3832,27.3513,-105.5,23,0,7
43,-15.7474,27.1433,56.9445,806.003,0,7
43,-15.8005,27.1123,299.078,562.298,0,7
43,-16.1224,26.9222,-30.2301,1170.76,0,7
43,-16.1356,26.9142,229.597,1025.84,0,7
43,-17.6296,25.9603,120.839,828.369,0,7
43,-17.6353,25.9564,143.318,837.987,0,7
43,-17.6334,25.9576,44.8842,508.245,0,7
43,-18.2743,25.5105,-49.3727,573.067,0,7
43,-18.786,25.1361,-58.9164,786.813,0,7
43,-21.6262,22.7385,-72.8742,75.3984,0,7
43,-21.9045,22.4706,-72.8802,320.035,0,7
43,-21.9018,22.4732,247.396,645.516,0,7
43,-22.7298,21.6354,122.5,5010.93,0,7
43,-23.0993,21.2405,-97.4677,405.85,0,7
43,-24.1158,20.0789,182.412,339.41,0,7
43,-24.3745,19.7641,-100.438,993.572,0,7
43,-25.3565,18.4874,-59.8218,9296.15,0,7
43,-26.3314,17.0703,80.0269,582.566,0,7
43,-26.8507,16.2412,157.622,13724.1,0,7
43,-26.6185,16.619,207.543,165.448,0,7
43,-26.9087,16.1449,7.24165,966.025,0,7
43,-27.646,14.8471,-51.5664,3237.02,0,7
43,-27.6071,14.9192,132.548,163.018,0,7
43,-27.9671,14.2329,268.806,365.087,0,7
43,-28.0813,14.0062,9.48308,309.469,0,7
43,-28.8985,12.2316,105.059,1028.42,0,7
43,-29.0873,11.7756,-88.3043,432.769,0,7
43,-29.2279,11.4222,59.2542,666.19,0,7
43,-29.2519,11.3606,82.1085,7663.86,0,7
43,-29.6642,10.2357,-2.64324,534.337,0,7
43,-30.0457,9.05491,-6.36555,886.138,0,7
43,-30.5085,7.34624,206.901,606.425,0,7
43,-30.6318,6.81376,160.339,401.377,0,7
43,-30.6355,6.79718,235.913,831.094,0,7
43,-30.8099,5.95693,7.70641,2689.43,0,7
43,-30.7943,6.03695,24.6863,442.738,0,7
43,-31.0709,4.3973,190.66,213.766,0,7
43,-31.1169,4.0585,-20.202,264,0,7
43,-31.1988,3.37171,190.385,419.771,0,7
43,-31.2744,2.57821,163.244,643.796,0,7
43,-31.3675,0.904536,294.066,888.726,0,7
43,-31.3802,0.142227,-74.4175,323.664,0,7
43,-31.3675,-0.902769,100.39,2105.06,1,7
43,-31.3802,-0.146064,78.5428,113.962,1,7
43,-31.2734,-2.58999,93.2051,1667.07,1,7
43,-31.0736,-4.37806,-7.11509,261.196,1,7
43,-31.0828,-4.31204,-89.7671,583.153,1,7
43,-30.9859,-4.96076,105.304,197.233,1,7
43,-30.6984,-6.50726,-66.8265,1543.88,1,7
43,-30.388,-7.82995,-25.5347,119.813,1,7
43,-30.4164,-7.7189,-63.961,259.541,1,7
43,-30.0479,-9.04757,64.2092,147.938,1,7
43,-29.9773,-9.27891,-22.4771,320.527,1,7
43,-29.5562,-10.5437,-182.84,1750.39,1,7
43,-29.1125,-11.7132,-54.9455,151.032,1,7
43,-28.3697,-13.4125,-81.6195,2166.14,1,7
43,-27.5504,-15.0237,-253.526,1526.36,1,7
43,-26.1628,-17.3275,-49.8166,382.345,1,7
43,-26.1937,-17.2808,-248.147,792.432,1,7
43,-23.8263,-20.4216,-157.295,137.413,1,7
43,-23.29,-21.0312,69.8615,561.234,1,7
43,-23.1246,-21.213,-87.3762,3304.6,1,7
43,-21.6263,-22.7385,-107.612,29.2002,1,7
43,-21.6263,-22.7385,-142.494,178.537,1,7
43,-19.4042,-24.662,98.2027,1566.2,1,7
43,-19.4113,-24.6564,-276.902,841.24,1,7
43,-18.3011,-25.4913,-137.013,418.48,1,7
43,-17.9605,-25.7324,-216.618,1156.59,1,7
43,-17.6728,-25.9308,-132.76,170.587,1,7
43,-16.7042,-26.5651,-115.571,600.358,1,7
43,-16.4294,-26.7359,-260.427,948.833,1,7
43,-15.8392,-27.0897,90.4223,732.135,1,7
43,-15.7908,-27.118,68.2265,427.443,1,7
43,-14.63,-27.7614,65.8272,991.108,1,7
43,-14.3167,-27.9243,-42.0626,262.81,1,7
43,-13.1246,-28.504,-44.1737,1465.33,1,7
43,-13.4374,-28.3579,-42.6889,202.869,1,7
43,-11.9507,-29.0158,-121.472,4186.64,1,7
43,-12.4916,-28.7871,-89.116,11.1738,1,7
43,-12.0437,-28.9773,-130.085,2211.66,1,7
43,-12.1135,-28.9482,-151.261,1776.47,1,7
43,-11.3926,-29.2394,-127.019,774.761,1,7
43,-9.71085,-29.8402,-277.243,826.085,1,7
43,-9.53351,-29.8973,-184.699,412.822,1,7
43,-9.53354,-29.8973,-207.172,414.997,1,7
43,-9.17493,-30.0093,-63.8688,139.91,1,7
43,-8.73785,-30.1394,-300.124,401.713,1,7
43,-7.5879,-30.4493,-151.827,373.145,1,7
43,-7.58851,-30.4491,-174.298,369.178,1,7
43,-4.66811,-31.0313,-103.581,341.121,1,7
43,-2.79957,-31.2554,91.4653,1137.09,1,7
43,-2.55267,-31.2765,42.0123,851.758,1,7
43,-1.29953,-31.3536,-301.339,1002.28,1,7
43,-1.02122,-31.3639,-117.422,802.248,1,7
43,0.54145,-31.3758,-247.459,393.915,1,7
43,0.976979,-31.3653,-157.858,322.065,1,7
43,2.52262,-31.2789,-146.122,969.983,1,7
43,2.37229,-31.2907,-167.417,486.878,1,7
43,2.7014,-31.264,-276.132,793.723,1,7
43,3.21044,-31.2158,22.2947,301.474,1,7
43,4.56521,-31.0467,-22.6486,207.726,1,7
43,4.56173,-31.0472,-104.453,6134.98,1,7
43,4.4423,-31.0645,-115.404,13,1,7
43,4.92329,-30.9919,7.84662,1198.82,1,7
43,6.50726,-30.6984,1.2826,1025.8,1,7
43,7.70688,-30.4194,-65.514,387.759,1,7
43,8.53164,-30.1985,-103.366,190.582,1,7
43,8.87901,-30.0982,-102.883,348.081,1,7
43,9.63572,-29.8645,-102.252,1391.35,1,7
43,9.5408,-29.895,-151.844,337.557,1,7
43,9.71818,-29.8378,-123.074,290.1,1,7
43,10.3307,-29.6313,-305.214,367.347,1,7
43,10.6233,-29.5276,-23.1277,916.247,1,7
43,11.1968,-29.315,-157.181,57.4308,1,7
43,15.4626,-27.3065,7.12123,262.853,1,7
43,15.4626,-27.3065,-147.376,45.7317,1,7
